id,Name,Type,Network_Device,Fiber_Switch,Blade_Chassis,Virtual_Host,In_Service,Service_Level,Serial_no,Asset_no,UUID,Profile_to_auto_assign_asset_no,Hardware,Customer,Device_Virtual_Host,Blade_slot_no,Blade_slot_no,Device_Host_Chassis,Notes,Device_Subtype,Virtual_Subtype,Additional_Location_Info,Building,Room,Rack,First_added,Last_updated,Storage_Room,live_id,Discovery_spec
311,TXARL1-pcosd032,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,mxq51203mw,34000803B9B3040000000004,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:18,9/14/2016 16:38:29,None,None,None
312,TXARL1-pcosd033,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ51004BH,34000803B9B3040000000003,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:18,9/14/2016 16:38:29,None,None,None
313,TXARL1-pcosd034,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ511008F,34000803B9B30400000002CD,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:18,9/14/2016 16:38:29,None,None,None
314,TXARL1-pcosd035,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ511008K,34000803B9B30400000002C9,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:18,9/14/2016 16:38:29,None,None,None
315,TXARL1-pcosd036,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ511008L,34000803B9B30400000002CB,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:18,9/14/2016 16:38:29,None,None,None
316,TXARL1-pcosd037,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ511008N,34000803B9B30400000002B6,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:19,9/14/2016 16:38:30,None,None,None
317,TXARL1-pcosd038,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ511008J,34000803B9B30400000002B7,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:19,9/14/2016 16:38:30,None,None,None
318,TXARL1-pcosd039,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ5100472,34000803B9B30400000002B8,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:19,9/14/2016 16:38:30,None,None,None
319,TXARL1-pcosd040,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ510046V,34000803B9B30400000002B9,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:19,9/14/2016 16:38:30,None,None,None
320,TXARL1-pcosd041,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ510046W,34000803B9B30400000002BA,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:19,9/14/2016 16:38:30,None,None,None
321,TXARL1-pcosd042,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ510046X,34000803B9B30400000002BB,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:19,9/14/2016 16:38:30,None,None,None
322,TXARL1-pcosd043,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ510046T,34000803B9B30400000002BC,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:19,9/14/2016 16:38:30,None,None,None
